Id,Expected
0,0
1,0
2,2
3,1
4,2
5,2
6,0
7,1
8,1
9,2
10,2
11,1
12,1
13,1
14,0
15,1
16,0
17,1
18,0
19,2
20,2
21,0
22,1
23,0
24,0
25,0
26,2
27,2
28,0
29,0
30,0
31,1
32,0
33,1
34,1
35,0
36,1
37,0
38,2
39,0
40,2
41,1
42,0
43,1
44,2
45,0
46,2
47,1
48,2
49,0
50,2
51,1
52,1
53,2
54,0
55,0
56,1
57,1
58,1
59,0
60,2
61,0
62,0
63,2
64,2
65,1
66,1
67,0
68,1
69,2
70,0
71,0
72,2
73,0
74,2
75,0
76,2
77,0
78,2
79,0
80,1
81,0
82,2
83,2
84,1
85,0
86,1
87,1
88,0
89,1
90,1
91,1
92,1
93,0
94,1
95,1
96,0
97,0
98,2
99,1
100,0
101,2
102,0
103,2
104,1
105,2
106,0
107,2
108,1
109,2
110,2
111,1
112,2
113,2
114,2
115,0
116,2
117,1
118,1
119,0
120,1
121,1
122,0
123,0
124,2
125,1
126,0
127,1
128,2
129,1
130,2
131,1
132,0
133,2
134,2
135,1
136,2
137,2
138,1
139,2
140,0
141,0
142,2
143,2
144,2
145,0
146,2
147,1
148,2
149,2
150,0
151,0
152,1
153,2
154,0
155,2
156,2
157,1
158,1
159,0
160,1
161,0
162,1
163,2
164,0
165,2
166,2
167,1
168,0
169,1
170,0
171,1
172,2
173,1
174,0
175,0
176,0
177,1
178,2
179,2
180,1
181,2
182,0
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,2
191,0
192,0
193,0
194,2
195,0
196,0
197,2
198,2
199,0
200,0
201,0
202,1
203,2
204,0
205,2
206,0
207,1
208,1
209,2
210,0
211,2
212,2
213,0
214,0
215,1
216,2
217,1
218,1
219,2
220,2
221,2
222,0
223,0
224,0
225,2
226,1
227,1
228,1
229,1
230,2
231,2
232,0
233,2
234,1
235,1
236,2
237,2
238,2
239,0
240,0
241,2
242,0
243,0
244,1
245,1
246,2
247,0
248,0
249,1
250,1
251,0
252,1
253,2
254,2
255,0
256,1
257,2
258,0
259,2
260,1
261,1
262,2
263,2
264,1
265,1
266,0
267,1
268,0
269,0
270,1
271,1
272,0
273,0
274,1
275,1
276,1
277,1
278,2
279,1
280,0
281,2
282,2
283,0
284,1
285,0
286,0
287,1
288,2
289,2
290,2
291,1
292,1
293,0
294,1
295,0
296,1
297,0
298,1
299,0
300,2
301,2
302,1
303,2
304,2
305,1
306,1
307,1
308,1
309,1
310,0
311,2
312,1
313,2
314,2
315,0
316,0
317,2
318,1
319,1
320,0
321,2
322,1
323,1
324,2
325,2
326,0
327,0
328,0
329,1
330,1
331,1
332,1
333,2
334,2
335,0
336,2
337,2
338,2
339,0
340,2
341,1
342,2
343,1
344,1
345,2
346,2
347,1
348,2
349,2
350,2
351,1
352,0
353,2
354,0
355,1
356,2
357,2
358,2
359,0
360,1
361,0
362,0
363,2
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,2
374,0
375,1
376,1
377,2
378,1
379,0
380,0
381,2
382,2
383,2
384,0
385,1
386,2
387,1
388,0
389,1
390,2
391,0
392,2
393,1
394,1
395,1
396,1
397,2
398,1
399,0
400,2
401,0
402,1
403,1
404,1
405,0
406,0
407,2
408,2
409,0
410,0
411,0
412,2
413,1
414,1
415,2
416,1
417,1
418,0
419,2
420,1
421,1
422,2
423,0
424,1
425,1
426,2
427,2
428,1
429,0
430,2
431,1
432,1
433,1
434,1
435,1
436,1
437,2
438,1
439,2
440,1
441,2
442,2
443,2
444,0
445,0
446,2
447,1
448,1
449,1
450,2
451,0
452,2
453,0
454,0
455,0
456,2
457,2
458,2
459,0
460,0
461,2
462,0
463,0
464,2
465,1
466,0
467,0
468,0
469,1
470,1
471,1
472,1
473,2
474,1
475,0
476,2
477,1
478,1
479,0
480,1
481,1
482,2
483,0
484,0
485,0
486,2
487,2
488,1
489,0
490,2
491,2
492,0
493,0
494,0
495,2
496,2
497,2
498,1
499,2
500,0
501,0
502,1
503,2
504,0
505,2
506,0
507,2
508,2
509,2
510,2
511,2
512,0
513,1
514,1
515,0
516,1
517,0
518,1
519,1
520,2
521,1
522,1
523,0
524,0
525,2
526,1
527,1
528,1
529,1
530,1
531,1
